variable,long_name,units,converted_units
msl,Mean sea level pressure,Pa,
sp,Surface pressure,Pa,
t2m,2 metre temperature,K,
crr,Convective rain rate,kg m**-2 s**-1,kg m-2 s-1
u10,10 metre U wind component,m s**-1,
v10,10 metre V wind component,m s**-1,
wind,10m Wind Speed,m s-1,
ssr,Surface net short-wave (solar) radiation,J m**-2,W m-2
str,Surface net long-wave (thermal) radiation,J m**-2,W m-2
strd,Surface long-wave (thermal) radiation downwards,J m**-2,W m-2
ssrd,Surface short-wave (solar) radiation downwards,J m**-2,W m-2
cdir,"Surface direct short-wave radiation, clear sky",J m**-2,W m-2
fdir,Surface direct short-wave (solar) radiation,J m**-2,W m-2
tp,Total precipitation,m,kg m-2 s-1
sf,Snowfall,m of water equivalent,kg m-2 s-1
lsp,Large-scale precipitation,m,kg m-2 s-1
lsf,Large-scale snowfall,m of water equivalent,kg m-2 s-1
csf,Convective snowfall,m of water equivalent,kg m-2 s-1
tot_rain,rainfall = precipitation - snowfall,m,kg m-2 s-1
rad_net,Total Net Radiation,W m-2,
diff_rad,Diffuse Radiation,W m-2,
co2,Atmospheric CO2 concentration,ppm,
ET_mm_hr,Priestley-Taylor hourly evapotranspiration,mm hr-1,
PAR,Photosynthetically Active Radiation,W m-2,
